case_id,channel,observation_index,virtual_time,diameter,mec_radius,method
q4_main,06,2,5865.302,209.542,104.771,bounded-bearing MEC
q4_main,06,3,22457.374,56.601,28.301,bounded-bearing MEC
q4_main,06,4,22522.034,28.301,14.150,bounded-bearing MEC
q4_main,07,1,41.000,1500.256,750.229,bounded-bearing MEC
q4_main,07,2,292.019,398.950,199.475,bounded-bearing MEC
q4_main,09,1,53.000,1500.452,750.242,bounded-bearing MEC
q4_main,09,2,190.019,1200.363,600.182,bounded-bearing MEC
q4_main,09,3,536.723,600.182,300.091,bounded-bearing MEC
q4_main,09,4,12838.839,300.091,150.045,bounded-bearing MEC
q4_main,09,5,19324.836,11.035,5.518,bounded-bearing MEC
q4_main,11,1,22861.260,1068.349,534.175,bounded-bearing MEC
q4_main,11,2,22932.994,815.415,407.708,bounded-bearing MEC
q4_main,11,3,23067.536,404.582,202.291,bounded-bearing MEC
q4_main,11,4,23226.131,52.033,26.016,bounded-bearing MEC
q4_main,12,1,25483.276,1389.309,694.654,bounded-bearing MEC
q4_main,12,2,25561.849,1077.485,538.743,bounded-bearing MEC
q4_main,12,3,25716.597,515.783,257.891,bounded-bearing MEC
q4_main,12,4,25815.175,96.890,48.445,bounded-bearing MEC
q4_main,12,5,25871.864,23.606,11.803,bounded-bearing MEC
q4_main,13,1,596.723,1466.679,733.339,bounded-bearing MEC
q4_main,14,1,6280.018,1447.623,723.812,bounded-bearing MEC
q4_main,16,1,17266.355,1039.340,519.670,bounded-bearing MEC
q4_main,16,2,17900.708,96.566,48.283,bounded-bearing MEC
q4_main,16,3,22831.260,48.283,24.142,bounded-bearing MEC
q4_main,16,4,23704.858,48.283,24.142,bounded-bearing MEC
q4_main,17,1,620.723,1500.452,750.226,bounded-bearing MEC
q4_main,19,1,113.000,1500.452,750.226,bounded-bearing MEC
